Time,Consumption
MO012002,15818
MO022002,14813
MO032002,16173
MO042002,15893
MO052002,17314
MO062002,17458
MO072002,18424
MO082002,17573
MO092002,16632
MO102002,17209
MO112002,16675
MO122002,16168
MO012003,16479
MO022003,15509
MO032003,17099
MO042003,16371
MO052003,17604
MO062003,17789
MO072003,18637
MO082003,18174
MO092003,16993
MO102003,17834
MO112003,17177
MO122003,16897
MO012004,17285
MO022004,16704
MO032004,17828
MO042004,16919
MO052004,18387
MO062004,18754
MO072004,19532
MO082004,18619
MO092004,17764
MO102004,18101
MO112004,17748
MO122004,17128
MO012005,17521
MO022005,16491
MO032005,17813
MO042005,17587
MO052005,18602
MO062005,18315
MO072005,18944
MO082005,18597
MO092005,17822
MO102005,18440
MO112005,17831
MO122005,17557
MO012006,17887
MO022006,16727
MO032006,18279
MO042006,17455
MO052006,19537
MO062006,19452
MO072006,19890
MO082006,19678
MO092006,18379
MO102006,18957
MO112006,18542
MO122006,18324
MO012007,18902
MO022007,17710
MO032007,19480
MO042007,18360
MO052007,20220
MO062007,20303
MO072007,21055
MO082007,20560
MO092007,18987
MO102007,19704
MO112007,19066
MO122007,18492
MO012008,18600
MO022008,17923
MO032008,18811
MO042008,18485
MO052008,19683
MO062008,19871
MO072008,20869
MO082008,19964
MO092008,19091
MO102008,19462
MO112008,18001
MO122008,16911
MO012009,17266
MO022009,16055
MO032009,17903
MO042009,17286
MO052009,18897
MO062009,19044
MO072009,20354
MO082009,19649
MO092009,18582
MO102009,19047
MO112009,18486
MO122009,18192
MO012010,18726
MO022010,17541
MO032010,19443
MO042010,18436
MO052010,19718
MO062010,20050
MO072010,20561
MO082010,19798
MO092010,18482
MO102010,19546
MO112010,18987
MO122010,18380
MO012011,18944
MO022011,17839
MO032011,19727
MO042011,18828
MO052011,20154
MO062011,20209
MO072011,20451
MO082011,19889
MO092011,18916
MO102011,19516
MO112011,18976
MO122011,18555
MO012012,18995
MO022012,18131
MO032012,18936
MO042012,17890
MO052012,19200
MO062012,19665
MO072012,20107
MO082012,19705
MO092012,18470
MO102012,18775
MO112012,18748
MO122012,17917
MO012013,18308
MO022013,16942
MO032013,18551
MO042013,18191
MO052013,19406
MO062013,19719
MO072013,20560
MO082013,20209
MO092013,18808
MO102013,19331
MO112013,18561
MO122013,18248
MO012014,18980
MO022014,17424
MO032014,18910
MO042014,18386
MO052014,19477
MO062014,19453
MO072014,20261
MO082014,19821
MO092014,18977
MO102014,19363
MO112014,18612
MO122014,18281
MO012015,18952
MO022015,17473
MO032015,19199
MO042015,18209
MO052015,19041
MO062015,19210
MO072015,19792
MO082015,18930
MO092015,18368
MO102015,18893
MO112015,18220
MO122015,18049
MO012016,18375
MO022016,17736
MO032016,18443
MO042016,18103
MO052016,19118
MO062016,18926
MO072016,19588
MO082016,19102
MO092016,18201
MO102016,18796
MO112016,18431
MO122016,18232
MO012017,18552
MO022017,17306
MO032017,19058
MO042017,18184
MO052017,19748
MO062017,19348
MO072017,19623
MO082017,19536
MO092017,18344
MO102017,19038
MO112017,18576
MO122017,18199
MO012018,18649
MO022018,17256
MO032018,18977
MO042018,18061
MO052018,19838
MO062018,19544
MO072018,20209
MO082018,19652
MO092018,18462
MO102018,19326
MO112018,18753
MO122018,18169
MO012019,18752
MO022019,17186
MO032019,18597
MO042019,18333
MO052019,19519
MO062019,19221
MO072019,19830
MO082019,18712
MO092019,18225
MO102019,19033
MO112019,18235
MO122019,17374
MO012020,18139
MO022020,17147
MO032020,17719
MO042020,14121
MO052020,16907
MO062020,18288
MO072020,19167
MO082020,18644
MO092020,17831
MO102020,18476
MO112020,17731
MO122020,17636
MO012021,17632
MO022021,16501
MO032021,18197
MO042021,17698
MO052021,19029
MO062021,18847